id,i,name_tokens,ingredient_tokens,steps_tokens,techniques,calorie_level,ingredient_ids
424415,23,"[40480, 37229, 2911, 1019, 249, 6878, 6878, 2839, 1781, 40481]","[[2911, 1019, 249, 6878], [1353], [6953], [15341, 3261], [2056, 857, 643, 1631, 20480]]","[40480, 40482, 21662, 481, 6878, 500, 246, 1614, 1911, 10757, 240, 674, 9933, 8400, 40478, 40482, 1082, 589, 16126, 500, 481, 6878, 2839, 1781, 5024, 240, 488, 13770, 485, 23667, 40478, 40482, 1233, 481, 4165, 562, 481, 5186, 1454, 6878, 7213, 40478, 40482, 669, 481, 4165, 10230, 485, 256, 1178, 2107, 256, 240, 1233, 246, 17764, 562, 7648, 1571, 40478, 40482, 861, 7648, 1571, 240, 25690, 6878, 556, 481, 4438, 17080, 522, 246, 3602, 9082, 40478, 40482, 4103, 597, 240, 522, 1357, 504, 256, 1178, 2107, 256, 562, 609, 485, 282, 1808, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,"[389, 7655, 6270, 1527, 3406]"
146223,96900,"[40480, 18376, 7056, 246, 1531, 2032, 40481]","[[17918], [25916], [2507, 6444], [8467, 1179], [8780], [6812], [4370, 2653, 18376], [2654, 5581, 34904, 5940], [15341], [10848], [21447, 7869], [6953]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 40478, 40482, 23667, 17918, 240, 25916, 240, 2507, 6444, 488, 8467, 1179, 40478, 40482, 4846, 6737, 8780, 488, 7087, 862, 40478, 40482, 3336, 666, 481, 2695, 498, 15473, 6847, 40478, 40482, 19007, 7648, 1571, 40478, 40482, 1000, 19093, 544, 15473, 23667, 6812, 240, 18376, 240, 5940, 240, 21298, 488, 6953, 488, 29369, 1073, 3866, 40478, 40482, 8240, 715, 19093, 488, 19007, 6828, 260, 14635, 1571, 1073, 4858, 544, 1233, 488, 2898, 13908, 500, 2732, 2323, 551, 2698, 40478, 40482, 851, 2548, 491, 844, 7858, 40478, 40482, 1892, 666, 19118, 488, 1325, 15405, 556, 6198, 31757, 488, 36672, 21940, 240, 645, 10114, 40478, 40482, 8658, 746, 775, 22519, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,"[2683, 4969, 800, 5298, 840, 2499, 6632, 7022, 1511, 3248, 4964, 6270]"
312329,120056,"[40480, 21044, 16954, 8294, 556, 10837, 40481]","[[5867, 24176], [1353], [6953], [1301, 11332], [21453, 8361], [25845, 8111, 11332], [23488, 8361], [37754, 10734], [652, 25, 3035, 11959, 10734], [10837], [19811, 21137, 556, 20323, 15022, 296, 7, 4344, 6741], [11951, 4914], [1615, 23, 695, 2338, 6821], [2801, 30645, 4785, 6821], [17918]]","[40480, 40482, 8240, 481, 24176, 296, 1353, 666, 246, 1719, 5082, 40478, 40482, 4846, 481, 21298, 240, 37754, 10734, 240, 652, 25, 3035, 11959, 240, 296, 10837, 485, 481, 5082, 674, 2030, 485, 246, 14057, 40478, 40482, 1300, 714, 481, 2525, 296, 32093, 562, 284, 1571, 40478, 40482, 4846, 481, 6945, 19811, 240, 4914, 240, 296, 6821, 240, 9467, 1073, 6737, 40478, 40482, 7087, 481, 17918, 556, 277, 13020, 9082, 498, 1353, 674, 9467, 666, 481, 8294, 40478, 40482, 32093, 562, 1007, 288, 260, 5895, 1571, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[1257, 7655, 6270, 590, 5024, 1119, 4883, 6696, 7946, 5648, 7239, 7705, 7594, 1168, 2683]"
74301,168258,"[40480, 10025, 31156, 40481]","[[1270, 1645, 28447], [21601], [27952, 29471, 484], [31843], [6821], [9514, 4914], [10444], [692, 37297, 17128]]","[40480, 40482, 5539, 21601, 1073, 903, 2324, 40478, 40482, 9933, 481, 4739, 488, 9467, 500, 27952, 7087, 488, 277, 278, 280, 3026, 31843, 278, 1251, 14923, 10734, 40478, 40482, 32093, 562, 281, 260, 284, 1571, 40478, 40482, 3336, 1270, 1645, 28447, 666, 10025, 19633, 7420, 40478, 40482, 9082, 11434, 9019, 500, 7420, 488, 1495, 556, 481, 281, 3, 21, 3696, 498, 31843, 488, 6821, 240, 13241, 10812, 40478, 40482, 19007, 500, 729, 6720, 44, 42, 46, 250, 10906, 562, 292, 1571, 240, 522, 1073, 481, 1270, 9622, 640, 10123, 903, 2324, 40478, 40482, 4103, 556, 4019, 31843, 240, 9514, 4914, 240, 30142, 488, 692, 37297, 17128, 645, 10114, 40478, 40482, 3545, 267, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7940, 3609, 7060, 6265, 1170, 6654, 5003, 3561]"
76272,109030,"[40480, 17841, 252, 782, 2373, 1641, 2373, 252, 40481]","[[1430, 11434], [1430, 17027], [1615, 23, 695, 2338, 6821], [13134, 2555, 29273, 9410]]","[40480, 40482, 14046, 1430, 11434, 488, 17027, 1073, 903, 2324, 40478, 40482, 9933, 811, 4739, 40478, 40482, 4846, 827, 943, 1615, 23, 695, 2338, 488, 9467, 1073, 862, 9126, 40478, 40482, 9082, 34745, 13020, 1201, 17321, 933, 1557, 8654, 498, 2555, 29273, 40478, 40482, 4103, 2198, 522, 1178, 2107, 500, 963, 954, 10906, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[3484, 6324, 7594, 243]"
465171,111231,"[40480, 3390, 829, 35873, 7047, 13731, 2640, 13521, 40481]","[[13731, 30684, 260, 245, 17843, 25592, 10601], [1353], [21190], [6444], [2548, 8797], [3753, 2044, 5409], [13731, 7524], [9230, 789, 607], [8780], [4914]]","[40480, 40482, 7087, 13731, 30684, 260, 245, 556, 11468, 1353, 674, 1705, 1353, 40478, 40482, 5463, 1073, 2314, 35491, 40478, 40482, 2523, 1073, 12924, 40478, 40482, 567, 676, 27434, 21190, 556, 6444, 40478, 40482, 9933, 7524, 811, 485, 727, 277, 3026, 40478, 40482, 7087, 2548, 8797, 556, 481, 21190, 40478, 40482, 7087, 666, 30684, 260, 245, 9019, 40478, 40482, 4264, 3753, 2044, 5409, 666, 277, 3652, 3585, 40478, 40482, 587, 538, 1529, 775, 903, 2324, 4299, 40478, 40482, 17143, 5409, 556, 30684, 260, 245, 9019, 500, 291, 272, 280, 272, 7877, 3652, 6847, 40478, 40482, 5463, 1073, 3677, 40478, 40482, 562, 481, 27943, 240, 5539, 481, 13731, 7524, 240, 9230, 789, 607, 240, 488, 8780, 1073, 20559, 40478, 40482, 2548, 40478, 40482, 4846, 280, 13020, 23028, 277, 278, 280, 488, 277, 278, 280, 4914, 40478, 40482, 669, 2548, 20761, 504, 1495, 498, 10601, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,"[6861, 7655, 6846, 6906, 1789, 131, 6863, 1833, 840, 1909]"
163861,85356,"[40480, 1966, 488, 5218, 252, 5867, 10994, 11892, 40481]","[[31801, 12395, 25808], [17918], [6953], [11332], [8441], [6796, 5940], [5867, 500, 246, 21118, 17729], [6020], [8780]]","[40480, 40482, 604, 704, 15110, 244, 15684, 244, 280, 4334, 31801, 12395, 25808, 562, 512, 40478, 40482, 500, 7056, 3505, 240, 1082, 17918, 40478, 40482, 7033, 556, 557, 889, 6953, 488, 11332, 557, 512, 649, 40478, 40482, 500, 1007, 7056, 3505, 2523, 8441, 488, 2523, 500, 6796, 5940, 40478, 40482, 500, 2981, 7056, 3505, 240, 1082, 23935, 17169, 40478, 40482, 4309, 3135, 25808, 504, 1109, 2000, 500, 17918, 9019, 40478, 40482, 11606, 566, 491, 246, 720, 666, 8441, 9019, 240, 2773, 16829, 14540, 811, 240, 674, 3135, 10123, 500, 23935, 17169, 40478, 40482, 6981, 504, 40478, 40482, 1082, 25808, 666, 1845, 6020, 9019, 715, 11868, 2525, 488, 14046, 562, 670, 281, 260, 282, 1571, 522, 522, 14690, 3746, 2507, 40478, 40482, 1300, 488, 14046, 728, 737, 14690, 1256, 240, 670, 1007, 281, 260, 282, 1571, 522, 14690, 3746, 2507, 504, 1109, 2000, 40478, 40482, 4103, 556, 21552, 240, 17921, 10837, 240, 17002, 488, 11488, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[5574, 2683, 6270, 5319, 2499, 869, 1278, 4987, 840]"
186383,105140,"[40480, 5317, 7, 491, 11274, 5639, 40481]","[[17918], [25916], [15473, 8361], [15473, 10166], [6953], [2507, 6444], [6020], [15000, 18347], [637, 15, 5940], [5317, 9079]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 9378, 40478, 40482, 29369, 1281, 2832, 16126, 500, 246, 5024, 40478, 40482, 7087, 1281, 481, 6444, 240, 6020, 240, 637, 15, 5940, 240, 488, 15000, 40478, 40482, 1547, 7087, 500, 481, 2832, 16126, 40478, 40482, 9467, 500, 481, 5317, 9079, 40478, 40482, 2933, 481, 9019, 666, 246, 35050, 53, 34, 7877, 244, 6847, 40478, 40482, 19007, 562, 15152, 10353, 1571, 522, 1073, 481, 11274, 5639, 640, 3746, 504, 1495, 40478, 40482, 2548, 488, 1892, 666, 5639, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,"[2683, 4969, 332, 335, 6270, 800, 4987, 7470, 6706, 1388]"
116395,8671,"[40480, 16190, 13249, 4914, 5639, 40481]","[[17918], [36374, 3388, 650, 256, 6444], [23618, 5940], [578, 2916, 996], [8780], [1454, 1143, 7406], [2417, 1454, 3204], [4914, 6821], [8441], [15000], [13249, 7524], [6444], [6812]]","[40480, 40482, 19093, 271, 40478, 40482, 23667, 17918, 240, 36374, 3388, 650, 6444, 240, 8361, 5940, 240, 488, 1430, 578, 2916, 996, 240, 8780, 240, 7087, 5802, 1904, 9588, 40478, 40482, 500, 246, 4309, 35050, 54, 34, 292, 6847, 4306, 6981, 500, 481, 9019, 40478, 40482, 19007, 292, 1571, 491, 43, 8393, 9378, 40478, 40482, 4914, 8556, 271, 40478, 40482, 500, 2044, 37453, 240, 12172, 481, 1143, 7406, 488, 481, 1454, 3204, 5802, 507, 5526, 246, 16064, 240, 670, 6828, 2460, 40478, 40482, 7087, 240, 4914, 6821, 240, 8441, 240, 36374, 3388, 650, 6444, 488, 15000, 5802, 3866, 240, 12172, 500, 481, 1143, 6539, 9019, 40478, 40482, 8240, 17679, 19093, 40478, 40482, 19007, 7648, 485, 7379, 1571, 5802, 1233, 40478, 40482, 13249, 8556, 271, 40478, 40482, 23667, 481, 7524, 240, 6444, 488, 6812, 240, 12172, 5802, 3866, 40478, 40482, 2685, 8240, 504, 1495, 498, 4914, 9019, 40478, 40482, 19007, 1007, 7648, 1571, 522, 5802, 1233, 40478, 40482, 2548, 2055, 40478, 40482, 35009, 556, 36374, 3388, 650, 6444, 40478, 40482, 3545, 267, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[2683, 1689, 5687, 1098, 840, 7782, 7011, 1910, 2499, 7449, 4253, 6906, 2499]"
303460,160334,"[40480, 1287, 7912, 504, 22118, 19276, 831, 478, 4481, 40481]","[[559, 1164, 6020], [511, 532, 543, 241], [6647, 26285], [548, 27862, 10734], [1055, 11, 4364, 10107], [827, 6591], [15022, 796, 964], [3316, 10734], [978, 955, 541]]","[40480, 40482, 14259, 1055, 11, 4364, 488, 827, 6591, 488, 1430, 9401, 40478, 40482, 39174, 1749, 6224, 40478, 40482, 7087, 589, 16126, 862, 40478, 40482, 645, 512, 831, 25838, 704, 1973, 1872, 815, 292, 1808, 4846, 481, 15022, 282, 260, 292, 1808, 781, 512, 19276, 40478, 40482, 2454, 704, 1973, 562, 282, 260, 20986, 1808, 240, 481, 1872, 481, 1198, 40478, 40482, 19276, 481, 22118, 1073, 1256, 40478, 40482, 3545, 267, 40478, 40481]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[6413, 7997, 3148, 3710, 1799, 2007, 3203, 2654, 1316]"
